Program Name,Program Type,Size in Bytes
0ad,a /usr/bin/sh script,181
2ping,Python script,942
2ping6,Python script,944
2to3,Python script,95
2to3-3.5,Python script,95
7z,a /usr/bin/sh script,43
8211createfromxml,a /usr/bin/sh script,8144
8211dump,a /usr/bin/sh script,8058
8211view,a /usr/bin/sh script,8058
Detex,a /usr/bin/csh script,6704
FoX-config,a /usr/bin/sh script,2939
GET,Perl script text executable,16200
GraphicsMagick++-config,a /usr/bin/sh script,1120
GraphicsMagick-config,a /usr/bin/sh script,1125
GraphicsMagickWand-config,a /usr/bin/sh script,1243
HEAD,Perl script text executable,16200
Magick++-config,a /usr/bin/sh script,1452
Magick-config,a /usr/bin/sh script,1388
MagickCore-config,a /usr/bin/sh script,1426
MagickWand-config,a /usr/bin/sh script,1431
POST,Perl script text executable,16200
Wand-config,a /usr/bin/sh script,1383
Xorg,a /usr/bin/sh script,277
abibcode,a /usr/bin/csh script,3559
abrt,Python script,1328
abrt-action-analyze-ccpp-local,a /usr/bin/sh script,1315
abrt-action-analyze-core,Python script,4613
abrt-action-analyze-vmcore,Python script,2597
abrt-action-analyze-vulnerability,a /usr/bin/sh script,1399
abrt-action-check-oops-for-alt-component,Python script,1926
abrt-action-check-oops-for-hw-error,Python script,6551
abrt-action-find-bodhi-update,Python script,5587
abrt-action-install-debuginfo,Python script,12989
abrt-action-list-dsos,Python script,3717
abrt-action-notify,Python script,7225
abrt-action-perform-ccpp-analysis,Python script,3289
abrt-handle-upload,Python script,8889
aclient_cgi,a /usr/bin/sh script,1652
aclocal,Perl script text executable,36376
aclocal-1.16,Perl script text executable,36376
activate-global-python-argcomplete,Python script,3462
afmtodit,Perl script text executable,165785
alembic-3,Python script,382
alias,a /usr/bin/sh script,33
alsaunmute,a /usr/bin/sh script,127
amuFormat.sh,a /usr/bin/sh script,2672
anaconda-cleanup,Python script,2744
anaconda-disable-nm-ibft-plugin,a /usr/bin/sh script,106
analog,Python script,8099
audit2allow,Python script,15197
autoconf,a /usr/bin/sh script,14771
autoexpect,a /usr/bin/sh script,7710
autoheader,Perl script text executable,8534
autom4te,Perl script text executable,32181
automake,Perl script text executable,257981
automake-1.16,Perl script text executable,257981
autoreconf,Perl script text executable,21066
autoscan,Perl script text executable,17124
autoupdate,Perl script text executable,33872
bashbug-64,makefile script,7043
batch,a /usr/bin/sh -e script,140
bdf2gdfont.pl,Perl script text executable,4689
bf_compact,a /usr/bin/sh script,2106
bf_copy,a /usr/bin/sh script,1216
bf_tar,a /usr/bin/sh script,1670
bg,a /usr/bin/sh script,30
biber,Perl script text executable,33554
bind9-config,a /usr/bin/sh script,3421
binhex.pl,Perl script text executable,3834
black,Python script,224
blackd,Python script,225
blivet-gui,Python script,3647
blivet-gui-daemon,Python script,3109
blueberry,a /usr/bin/sh script,49
blueberry-tray,a /usr/bin/sh script,55
bogoupgrade,Perl script text executable,5825
bon_csv2txt,Perl script text executable,4242
bond2team,Bourne-Again shell script,23293
brltty-config,a /usr/bin/sh script,4445
build-classpath,Bourne-Again shell script,1478
build-classpath-directory,Bourne-Again shell script,313
build-jar-repository,Bourne-Again shell script,1507
bundle,Ruby script,526
bundler,Ruby script,528
bzdiff,a /usr/bin/sh script,2144
bzgrep,a /usr/bin/sh script,2058
bzmore,a /usr/bin/sh script,1263
c89,a /usr/bin/sh script,228
c99,a /usr/bin/sh script,219
ca-legacy,a /usr/bin/sh script,1648
cairosvg,Python script,963
callgrind_annotate,Perl script text executable,44658
callgrind_control,Perl script text executable,12602
card,a /usr/bin/sh script,8028
caribou-preferences,Python script,2259
catalyst.pl,Perl script text executable,4360
catcat,a /usr/bin/sh script,870
catchsegv,a /usr/bin/sh script,3289
catfish,Python script,1481
ccrewrite,a /usr/bin/sh script,84
cd,a /usr/bin/sh script,30
cert-sync,a /usr/bin/sh script,84
cg_annotate,Perl script text executable,33438
cg_diff,Perl script text executable,10347
chardetect,Python script,964
chartex,Perl script text executable,5817
chcat,Python script,13843
chem,Perl script text executable,29177
chktrust,a /usr/bin/sh script,83
chrome-gnome-shell,Python script,21673
ci,a /usr/bin/sh script,811
cinnamon-desktop-editor,Python script,287
cinnamon-file-dialog,Python script,2220
cinnamon-install-spice,Python script,2522
cinnamon-json-makepot,Python script,1077
cinnamon-killer-daemon,Python script,1893
cinnamon-launcher,Python script,2729
cinnamon-looking-glass,Python script,254
cinnamon-menu-editor,Python script,590
cinnamon-preview-gtk-theme,Python script,1309
cinnamon-screensaver-lock-dialog,Python script,186
cinnamon-session-cinnamon,a /usr/bin/sh script,61
cinnamon-session-cinnamon2d,a /usr/bin/sh script,63
cinnamon-settings,Python script,5292
cinnamon-settings-users,Python script,183
cinnamon-slideshow,Python script,179
cinnamon-subprocess-wrapper,Python script,738
cinnamon-xlet-makepot,Python script,10469
cinnamon2d,Bourne-Again shell script,201
clamav-config,a /usr/bin/sh script,961
clanlib-config,a /usr/bin/sh script,373
clc-clbuild,Bourne-Again shell script,982
clc-lisp,Bourne-Again shell script,164
clc-register-user-package,a /usr/bin/sh script,1406
clc-slime,Bourne-Again shell script,165
clc-unregister-user-package,a /usr/bin/sh script,1327
click-man,Python script,968
co,a /usr/bin/sh script,811
collateindex.pl,Perl script text executable,17503
command,a /usr/bin/sh script,35
compile_et,a /usr/bin/sh script,1346
composeglyphs,Perl script text executable,14011
config_data,Perl script text executable,7138
context,a /usr/bin/sh script,189
coqtags,Perl script text executable,4419
corelist,Perl script text executable,15279
cpan,Perl script text executable,8258
cpan-mirrors,Perl script text executable,4288
cpan-upload,Perl script text executable,6789
cpan2dist,Perl script text executable,21736
