Program Name,Program Type,Size in Bytes
bg,a /usr/bin/sh script,30
cd,a /usr/bin/sh script,30
fc,a /usr/bin/sh script,30
fg,a /usr/bin/sh script,30
egrep,a /usr/bin/sh script,32
fgrep,a /usr/bin/sh script,32
hash,a /usr/bin/sh script,32
jobs,a /usr/bin/sh script,32
read,a /usr/bin/sh script,32
type,a /usr/bin/sh script,32
wait,a /usr/bin/sh script,32
alias,a /usr/bin/sh script,33
umask,a /usr/bin/sh script,33
zegrep,a /usr/bin/sh script,33
zfgrep,a /usr/bin/sh script,33
ulimit,a /usr/bin/sh script,34
zstdless,a /usr/bin/sh script,34
command,a /usr/bin/sh script,35
getopts,a /usr/bin/sh script,35
unalias,a /usr/bin/sh script,35
mdoc-update,a /usr/bin/sh script,36
ooffice,a /usr/bin/sh script,36
mdoc-assemble,a /usr/bin/sh script,38
mdoc-validate,a /usr/bin/sh script,38
docbook2man,a /usr/bin/sh script,40
docbook2rtf,a /usr/bin/sh script,40
docbook2tex,a /usr/bin/sh script,40
docbook2txt,a /usr/bin/sh script,40
docbook2html,a /usr/bin/sh script,41
docbook2texi,a /usr/bin/sh script,41
mdoc-export-html,a /usr/bin/sh script,41
7z,a /usr/bin/sh script,43
mdoc-export-msxdoc,a /usr/bin/sh script,43
oobase,a /usr/bin/sh script,43
oocalc,a /usr/bin/sh script,43
oodraw,a /usr/bin/sh script,43
oomath,a /usr/bin/sh script,43
ooviewdoc,a /usr/bin/sh script,43
monodocs2slashdoc,a /usr/bin/sh script,44
oowriter,a /usr/bin/sh script,45
qvlc,a /usr/bin/sh script,45
rvlc,a /usr/bin/sh script,45
ooimpress,a /usr/bin/sh script,46
cvlc,a /usr/bin/sh script,48
mdvalidater,a /usr/bin/sh script,48
blueberry,a /usr/bin/sh script,49
svlc,a /usr/bin/sh script,49
cpp2html,a /usr/bin/sh script,50
nvlc,a /usr/bin/sh script,50
java2html,a /usr/bin/sh script,51
blueberry-tray,a /usr/bin/sh script,55
gapi3-fixup,a /usr/bin/sh script,57
gnome-session-custom-session,a /usr/bin/sh script,57
gapi3-codegen,a /usr/bin/sh script,59
cinnamon-session-cinnamon,a /usr/bin/sh script,61
python3.9-config,a /usr/bin/sh script,61
cinnamon-session-cinnamon2d,a /usr/bin/sh script,63
mintlocale,Bourne-Again shell script,64
emacs-terminal,a /usr/bin/sh script,66
mkfontdir,a /usr/bin/sh script,69
lc,a /usr/bin/sh script,77
mcs,a /usr/bin/sh script,78
mod,a /usr/bin/sh script,78
pydoc2.7,Python script,78
pydoc3.5,Python script,78
pydoc3.6,Python script,78
pydoc3.7,Python script,78
pydoc3.8,Python script,78
pydoc3.9,Python script,78
xsd,a /usr/bin/sh script,78
mdoc,a /usr/bin/sh script,79
wsdl,a /usr/bin/sh script,79
wsdl2,a /usr/bin/sh script,79
disco,a /usr/bin/sh script,80
csharp,a /usr/bin/sh script,81
ikdasm,a /usr/bin/sh script,81
setreg,a /usr/bin/sh script,81
gacutil,a /usr/bin/sh script,82
gacutil2,a /usr/bin/sh script,82
httpcfg,a /usr/bin/sh script,82
mconfig,a /usr/bin/sh script,82
pdb2mdb,a /usr/bin/sh script,82
svcutil,a /usr/bin/sh script,82
chktrust,a /usr/bin/sh script,83
mozroots,a /usr/bin/sh script,83
soapsuds,a /usr/bin/sh script,83
sqlmetal,a /usr/bin/sh script,83
sqlsharp,a /usr/bin/sh script,83
ccrewrite,a /usr/bin/sh script,84
cert-sync,a /usr/bin/sh script,84
system-config-printer-applet,a /usr/bin/sh script,84
csslint,a /usr/bin/sh script,87
sn,a /usr/bin/sh script,87
update-crypto-policies,a /usr/bin/sh script,87
mkofm,a /usr/bin/sh script,89
run-with-aspell,a /usr/bin/sh script,89
manview,a /usr/bin/sh script,91
system-config-language,a /usr/bin/sh script,91
red,a /usr/bin/sh script,92
idle2.7,Python script,93
idle3.5,Python script,93
idle3.6,Python script,93
idle3.7,Python script,93
idle3.8,Python script,93
idle3.9,Python script,93
gapi3-parser,a /usr/bin/sh script,94
scp-dbus-service,a /usr/bin/sh script,94
2to3,Python script,95
2to3-3.5,Python script,95
install-printerdriver,a /usr/bin/sh script,99
system-config-printer,a /usr/bin/sh script,99
anaconda-disable-nm-ibft-plugin,a /usr/bin/sh script,106
re.pl,Perl script text executable,106
over,a /usr/bin/sh script,110
xfce4-panel-profiles,a /usr/bin/sh script,113
perldoc,Perl script text executable,118
spell,a /usr/bin/sh script,125
alsaunmute,a /usr/bin/sh script,127
fc-cache,a /usr/bin/sh script,139
batch,a /usr/bin/sh -e script,140
gvimtutor,a /usr/bin/sh script,147
pbr-3,Python script,151
opengl-game-wrapper.sh,Bourne-Again shell script,152
clc-lisp,Bourne-Again shell script,164
clc-slime,Bourne-Again shell script,165
external-ip,a /usr/bin/sh script,165
mkocp,a /usr/bin/sh script,175
python3.8-config,a /usr/bin/sh script,175
python3.5m-config,a /usr/bin/sh script,177
python3.6m-config,a /usr/bin/sh script,177
python3.7m-config,a /usr/bin/sh script,177
cinnamon-slideshow,Python script,179
python3.7dm-config,a /usr/bin/sh script,179
0ad,a /usr/bin/sh script,181
cinnamon-settings-users,Python script,183
cinnamon-screensaver-lock-dialog,Python script,186
context,a /usr/bin/sh script,189
pygtk-demo,Python script,189
cinnamon2d,Bourne-Again shell script,201
flit,Python script,203
icu-config,a /usr/bin/sh script,205
pygobject-codegen-2.0,a /usr/bin/sh script,211
