Program Name,Program Type,Size in Bytes
bond2team,Bourne-Again shell script,23293
build-classpath,Bourne-Again shell script,1478
build-classpath-directory,Bourne-Again shell script,313
build-jar-repository,Bourne-Again shell script,1507
cinnamon2d,Bourne-Again shell script,201
clc-clbuild,Bourne-Again shell script,982
clc-lisp,Bourne-Again shell script,164
clc-slime,Bourne-Again shell script,165
create-jar-links,Bourne-Again shell script,4595
diff-jars,Bourne-Again shell script,1238
dracut,Bourne-Again shell script,78558
ef,Bourne-Again shell script,409
esmtp-wrapper,Bourne-Again shell script,3378
find-jar,Bourne-Again shell script,696
fips-finish-install,Bourne-Again shell script,981
fips-mode-setup,Bourne-Again shell script,3884
firefox,Bourne-Again shell script,7544
gcore,Bourne-Again shell script,3473
gmt-config,Bourne-Again shell script,5544
gmt_shell_functions.sh,Bourne-Again shell script,18231
gmtswitch,Bourne-Again shell script,5772
isogmt,Bourne-Again shell script,1260
kdumpctl,Bourne-Again shell script,29938
kernel-install,Bourne-Again shell script,5310
ldd,Bourne-Again shell script,5447
lsinitrd,Bourne-Again shell script,10527
mintlocale,Bourne-Again shell script,64
mkinitrd,Bourne-Again shell script,6613
mm2_get_global_netblocks,Bourne-Again shell script,2624
mm2_get_internet2_netblocks,Bourne-Again shell script,2898
mm2_update-mirrorlist-server,Bourne-Again shell script,1112
mono-test-install,Bourne-Again shell script,4324
opengl-game-wrapper.sh,Bourne-Again shell script,152
pa-info,Bourne-Again shell script,2043
postgresql-setup,Bourne-Again shell script,25338
rebuild-jar-repository,Bourne-Again shell script,1752
redhat_lsb_init,Bourne-Again shell script,576
renew-dummy-cert,Bourne-Again shell script,729
rsync-ssl,Bourne-Again shell script,4937
ruby,Bourne-Again shell script,2409
run-parts,Bourne-Again shell script,1987
shade-jar,Bourne-Again shell script,2463
sotruss,Bourne-Again shell script,4283
thunderbird,Bourne-Again shell script,4723
tzselect,Bourne-Again shell script,15352
xfce4-set-wallpaper,Bourne-Again shell script,613
subtitles,Bourne-Again shell script,1735
mono-package-runtime,Bourne-Again shell script,1473
gtstemplate,C source,6113
readmult,HTML document,803
gcl,Lisp/Scheme program,335
dislocate,OS/2 REXX batch file,7942
rakudo-gdb-m,OS/2 REXX batch file,1931
rakudo-lldb-m,OS/2 REXX batch file,1783
rakudo-valgrind-m,OS/2 REXX batch file,1609
aclocal,Perl script text executable,36376
aclocal-1.16,Perl script text executable,36376
afmtodit,Perl script text executable,165785
autoheader,Perl script text executable,8534
autom4te,Perl script text executable,32181
automake,Perl script text executable,257981
automake-1.16,Perl script text executable,257981
autoreconf,Perl script text executable,21066
autoscan,Perl script text executable,17124
autoupdate,Perl script text executable,33872
bdf2gdfont.pl,Perl script text executable,4689
biber,Perl script text executable,33554
binhex.pl,Perl script text executable,3834
bogoupgrade,Perl script text executable,5825
bon_csv2txt,Perl script text executable,4242
callgrind_annotate,Perl script text executable,44658
callgrind_control,Perl script text executable,12602
catalyst.pl,Perl script text executable,4360
cg_annotate,Perl script text executable,33438
cg_diff,Perl script text executable,10347
chartex,Perl script text executable,5817
chem,Perl script text executable,29177
collateindex.pl,Perl script text executable,17503
composeglyphs,Perl script text executable,14011
config_data,Perl script text executable,7138
coqtags,Perl script text executable,4419
corelist,Perl script text executable,15279
cpan,Perl script text executable,8258
cpan-mirrors,Perl script text executable,4288
cpan-upload,Perl script text executable,6789
cpan2dist,Perl script text executable,21736
cpanel_json_xs,Perl script text executable,9993
cpanfile-dump,Perl script text executable,3542
cpanm,Perl script text executable,20162
cpanp,Perl script text executable,3305
cpanp-run-perl,Perl script text executable,468
cpanspec,Perl script text executable,33962
crc32,Perl script text executable,1043
cvs2cl,Perl script text executable,92914
db4-entities.pl,Perl script text executable,1110
dbicadmin,Perl script text executable,7182
dbicdump,Perl script text executable,5156
dbilogstrip,Perl script text executable,1380
dbiprof,Perl script text executable,6206
debinhex.pl,Perl script text executable,5792
diffpp,Perl script text executable,4548
dm_date,Perl script text executable,5513
dm_zdump,Perl script text executable,5109
dumpcpandist,Perl script text executable,1229
ebappendix,Perl script text executable,30178
enc2xs,Perl script text executable,41663
encguess,Perl script text executable,2989
extractres,Perl script text executable,3411
findrule,Perl script text executable,3327
findsmb,Perl script text executable,4604
flamegraph.pl,Perl script text executable,35898
foomatic-compiledb,Perl script text executable,4629
foomatic-configure,Perl script text executable,136767
foomatic-ppd-options,Perl script text executable,4000
foomatic-ppd-to-xml,Perl script text executable,11907
foomatic-ppdfile,Perl script text executable,9788
